Time,Value
73.1,-0.4194458
73.15,-0.6153201
73.2,-0.7541372
73.25,-0.6398767
73.3,-0.5091958
73.35,-0.4109322
73.4,-0.1870432
73.45,2.34E-02
73.5,8.19E-02
73.55,1.29E-02
73.6,6.87E-03
73.65,0.1279772
73.7,0.1611465
73.75,0.2137166
73.8,0.3495627
73.85,0.5050226
73.9,0.3926189
73.95,0.4452218
74,0.5721254
74.05,0.7067274
74.1,0.7285572
74.15,0.7219953
74.2,0.7707804
74.25,0.7609562
74.3,0.6847071
74.35,0.7891455
74.4,1.072141
74.45,1.129379
74.5,1.132044
74.55,1.202939
74.6,1.212067
74.65,1.014443
74.7,0.7056968
74.75,0.7517596
74.8,1.178049
74.85,1.474008
74.9,1.870051
74.95,2.422918
75,2.870028
75.05,3.080487
75.1,3.184281
75.15,3.293726
75.2,3.29236
75.25,3.110333
75.3,2.771454
75.35,2.848953
75.4,3.233488
75.45,3.675139
75.5,3.849178
75.55,4.042398
75.6,4.242468
75.65,4.382627
75.7,4.510456
75.75,4.808544
75.8,5.261878
75.85,5.579386
75.9,5.652569
75.95,5.685182
76,5.930669
76.05,6.770878
76.1,7.537864
76.15,8.51853
76.2,9.244443
76.25,9.611366
76.3,9.594215
76.35,9.372333
76.4,9.355891
76.45,9.630504
76.5,9.998789
76.55,10.41073
76.6,10.93896
76.65,11.54127
76.7,12.3233
76.75,13.31428
76.8,14.69261
76.85,15.7137
76.9,16.04581
76.95,16.27078
77,16.97661
77.05,17.85332
77.1,18.95302
77.15,20.04724
77.2,20.65296
77.25,20.78967
77.3,20.98275
77.35,21.50549
77.4,22.39873
77.45,24.16148
77.5,25.8726
77.55,27.75741
77.6,28.66903
77.65,29.93366
77.7,31.65215
77.75,33.01159
77.8,33.6783
77.85,34.29689
77.9,34.62594
77.95,34.92123
78,35.66004
78.05,37.00196
78.1,39.36802
78.15,41.40869
78.2,42.8962
78.25,44.1496
78.3,45.77732
78.35,46.79682
78.4,48.79628
78.45,50.25207
78.5,51.65432
78.55,53.45757
78.6,55.35672
78.65,56.92171
78.7,58.67392
78.75,61.035
78.8,63.11111
78.85,64.20776
78.9,65.04783
78.95,66.8199
79,68.19827
79.05,70.57978
79.1,73.55665
79.15,77.35593
79.2,80.38273
79.25,82.11485
79.3,83.38898
79.35,85.04366
79.4,87.23832
79.45,90.07658
79.5,92.94046
79.55,94.67627
79.6,96.07052
79.65,97.07808
79.7,98.80393
79.75,100.6946
79.8,103.6056
79.85,105.8072
79.9,108.3524
79.95,111.2537
80,113.9112
80.05,116.0841
80.1,118.1073
80.15,120.173
80.2,122.0984
80.25,124.1526
80.3,127.4685
80.35,132.4241
80.4,136.8719
80.45,140.6708
80.5,144.0887
80.55,147.435
80.6,147.6193
80.65,146.2552
80.7,148.2959
80.75,152.1239
80.8,154.8937
80.85,157.691
80.9,161.0961
80.95,164.1215
81,166.668
81.05,168.2653
81.1,170.6805
81.15,174.3754
81.2,174.3791
81.25,176.5204
81.3,180.2774
81.35,183.0702
81.4,186.745
81.45,189.2068
81.5,192.0968
81.55,195.2484
81.6,197.214
81.65,197.9148
81.7,198.1009
81.75,198.791
81.8,201.5661
81.85,205.371
81.9,208.5096
81.95,211.8628
82,215.0505
82.05,217.4693
82.1,218.6408
82.15,218.4863
82.2,218.2516
82.25,218.2671
82.3,218.2955
82.35,219.6704
82.4,223.0455
82.45,225.2708
82.5,224.4017
82.55,225.7671
82.6,227.9738
82.65,226.4385
82.7,226.0833
82.75,226.5611
82.8,228.3464
82.85,227.0455
82.9,224.5402
82.95,225.9682
83,228.0737
83.05,227.7682
83.1,227.1815
83.15,226.2887
83.2,222.7353
83.25,219.6053
83.3,216.9462
83.35,217.5312
83.4,220.7727
83.45,219.9595
83.5,219.5782
83.55,219.2213
83.6,218.6519
83.65,220.0637
83.7,221.2352
83.75,222.3875
83.8,222.9542
83.85,220.5833
83.9,216.1222
83.95,213.0145
84,211.6221
84.05,212.7044
84.1,214.2501
84.15,215.8682
84.2,213.5759
84.25,208.7343
84.3,202.4471
84.35,196.5082
84.4,195.1396
84.45,195.7517
84.5,196.2636
84.55,194.8994
84.6,190.8342
84.65,186.1476
84.7,182.3688
84.75,179.2892
84.8,176.366
84.85,177.119
84.9,175.8881
84.95,176.7089
85,176.0494
85.05,174.1576
85.1,172.0834
85.15,170.9002
85.2,168.0614
85.25,163.7471
85.3,159.984
85.35,156.7375
85.4,153.2721
85.45,150.5044
85.5,149.5954
85.55,148.6698
85.6,144.5389
85.65,139.0255
85.7,133.2538
85.75,129.3417
85.8,124.8389
85.85,122.3113
85.9,122.164
85.95,121.8253
86,120.2691
86.05,117.7727
86.1,114.0558
86.15,109.308
86.2,104.7743
86.25,101.8285
86.3,99.04514
86.35,100.0694
86.4,102.9296
86.45,103.4854
86.5,102.7637
86.55,101.0821
86.6,98.37041
86.65,94.80766
86.7,90.62378
86.75,87.85498
86.8,86.41035
86.85,83.55192
86.9,80.14473
86.95,78.25429
87,77.61388
87.05,75.68008
87.1,73.74699
87.15,73.38073
87.2,71.77146
87.25,68.41927
87.3,64.77065
87.35,62.37862
87.4,61.69365
87.45,60.7036
87.5,59.95891
87.55,61.21185
87.6,62.53682
87.65,61.98689
87.7,59.98808
87.75,58.25467
87.8,57.18481
87.85,53.84161
87.9,51.27509
87.95,50.04204
88,48.44508
88.05,45.53287
88.1,42.40086
88.15,40.57445
88.2,39.8735
88.25,39.7198
88.3,40.2566
88.35,40.7149
88.4,39.61774
88.45,38.02348
88.5,34.85168
88.55,32.68344
88.6,31.2913
88.65,29.89345
88.7,30.64558
90.8,27.35484
90.85,22.56124
90.9,19.34494
90.95,17.99646
91,17.97785
91.05,17.33593
91.1,16.08454
91.15,14.33508
91.2,12.23157
91.25,10.39008
91.3,8.697876
91.35,8.56851
91.4,9.359937
91.45,10.44959
91.5,10.50647
91.55,10.51996
91.6,9.965687
91.65,9.685375
91.7,9.64293
91.75,9.78188
91.8,9.813467
91.85,9.401102
91.9,8.593397
91.95,7.956107
92,7.721282
92.05,7.345391
92.1,7.28917
92.15,7.507903
92.2,7.459262
92.25,6.880302
92.3,6.910503
92.35,6.895396
92.4,6.316456
92.45,5.483929
92.5,4.689147
92.55,4.060466
92.6,3.519988
92.65,2.990175
92.7,2.706901
92.75,2.556734
92.8,1.765061
92.85,1.778908
