Time,Value
72.5,-0.5695508
72.55,-0.4895904
72.6,-0.4192843
72.65,-0.3460253
72.7,-0.1884856
72.75,-6.51E-02
72.8,8.03E-03
72.85,2.34E-02
72.9,-0.1825245
72.95,-0.4832783
73,-0.5324323
73.05,-0.5567338
73.1,-0.3167127
73.15,-0.2635001
73.2,-9.76E-02
73.25,0.1390415
73.3,0.2295166
73.35,0.2407128
73.4,0.3816042
73.45,0.4486056
73.5,0.4156594
73.55,0.3110968
73.6,0.2740457
73.65,0.4512191
73.7,0.6147193
73.75,0.7440441
73.8,0.7568572
73.85,0.7166957
73.9,0.8058043
73.95,1.107503
74,1.194541
74.05,1.308252
74.1,1.371576
74.15,1.269178
74.2,1.04573
74.25,1.062273
74.3,1.20809
74.35,1.318722
74.4,1.360189
74.45,1.421465
74.5,1.651666
74.55,1.921686
74.6,1.997779
74.65,2.071923
74.7,2.08519
74.75,1.899151
74.8,1.893939
74.85,1.812058
74.9,2.284658
74.95,2.689317
75,2.890669
75.05,3.262033
75.1,3.634261
75.15,3.754767
75.2,3.753724
75.25,3.777531
75.3,3.842711
75.35,3.976638
75.4,4.154778
75.45,4.326766
75.5,4.277504
75.55,4.168792
75.6,4.203787
75.65,4.49776
75.7,4.844775
75.75,5.732052
75.8,6.608438
75.85,6.876437
75.9,6.893475
75.95,7.109375
76,7.282837
76.05,7.481304
76.1,7.84728
76.15,8.400447
76.2,9.039387
76.25,9.34246
76.3,9.577774
76.35,9.859712
76.4,10.23511
76.45,10.72582
76.5,11.45479
76.55,11.85137
76.6,12.20951
76.65,12.43969
76.7,12.87268
76.75,13.25461
76.8,14.15385
76.85,14.98825
76.9,15.27892
76.95,15.40668
77,15.9502
77.05,17.15376
77.1,18.6316
77.15,19.92251
77.2,20.96999
77.25,21.13001
77.3,21.13521
77.35,21.24039
77.4,21.98023
77.45,23.80735
77.5,25.57525
77.55,26.97383
77.6,28.17697
77.65,29.22928
77.7,30.34134
77.75,31.53812
77.8,32.41527
77.85,32.67046
77.9,32.82343
77.95,33.94122
78,36.03182
78.05,37.68254
78.1,39.85338
78.15,42.65578
78.2,43.50964
78.25,43.72561
78.3,44.262
78.35,45.82195
78.4,47.73055
78.45,50.03402
78.5,52.68072
78.55,54.93218
78.6,56.41348
78.65,58.20175
78.7,60.44368
78.75,61.61484
78.8,62.17161
78.85,63.62377
78.9,66.0488
78.95,67.5312
79,70.52139
79.05,73.37609
79.1,75.88828
79.15,76.74429
79.2,78.90281
79.25,82.59927
79.3,85.38248
79.35,87.15843
79.4,88.5646
79.45,89.6026
79.5,90.60398
79.55,92.58057
79.6,95.84455
79.65,98.96936
79.7,100.4545
79.75,101.6595
79.8,104.1603
79.85,106.2227
79.9,109.764
79.95,112.8768
80,115.5874
80.05,117.29
80.1,119.4929
80.15,121.6843
80.2,123.2273
80.25,126.3161
80.3,131.069
80.35,135.8874
80.4,140.2354
80.45,142.9903
80.5,143.1393
80.55,142.6407
80.6,143.4947
80.65,148.2932
80.7,153.9572
80.75,156.8886
80.8,158.5364
80.85,160.7633
80.9,163.2236
80.95,165.5692
81,167.8156
81.05,169.6824
81.1,172.0392
81.15,175.0428
81.2,177.9024
81.25,181.4607
81.3,186.3892
81.35,190.2191
81.4,193.0102
81.45,194.876
81.5,197.8443
81.55,200.9993
81.6,202.8884
81.65,205.6402
81.7,210.8287
81.75,214.3221
81.8,215.1506
81.85,215.6811
81.9,217.6235
81.95,220.3553
82,223.0006
82.05,226.0803
82.1,229.448
82.15,231.4214
82.2,232.2938
82.25,233.6978
82.3,234.4359
82.35,233.3352
82.4,230.7623
82.45,231.6353
82.5,236.9813
82.55,240.2953
82.6,241.3607
82.65,243.9309
82.7,244.4919
82.75,243.1574
82.8,242.0469
82.85,243.4224
82.9,246.9259
82.95,248.7575
83,248.2003
83.05,249.8311
83.1,253.778
83.15,253.7189
83.2,252.0167
83.25,254.8213
83.3,259.6764
83.35,261.974
83.4,261.5639
83.45,260.9805
83.5,259.4198
83.55,255.6924
83.6,251.4537
83.65,249.5479
83.7,247.9919
83.75,245.1969
83.8,243.9976
83.85,245.055
83.9,246.4198
83.95,246.3447
84,244.406
84.05,243.2814
84.1,241.8949
84.15,241.4785
84.2,242.5753
84.25,242.7964
84.3,241.0652
84.35,237.3336
84.4,231.6031
84.45,227.5464
84.5,227.0248
84.55,227.9388
84.6,227.9813
84.65,226.463
84.7,223.6712
84.75,220.1952
84.8,213.8858
84.85,206.4379
84.9,205.2966
84.95,205.575
85,202.1702
85.05,199.3595
85.1,197.214
85.15,195.092
85.2,192.3389
85.25,190.6927
85.3,190.9548
85.35,190.7483
85.4,187.9918
85.45,183.8311
85.5,179.8649
85.55,175.6304
85.6,171.3792
85.65,167.8923
85.7,164.9424
85.75,161.9498
85.8,159.7898
85.85,156.8361
85.9,153.1341
85.95,153.8412
86,154.8721
86.05,154.7183
86.1,152.2887
86.15,147.3842
86.2,141.4672
86.25,135.8667
86.3,131.86
86.35,130.6275
86.4,130.798
86.45,129.7244
86.5,126.935
86.55,122.1633
86.6,119.1264
86.65,116.6754
86.7,113.7103
86.75,113.052
86.8,113.5237
86.85,114.1356
86.9,112.6651
86.95,108.7722
87,103.8368
87.05,99.60244
87.1,95.94379
87.15,93.51118
87.2,94.61748
87.25,97.50531
87.3,97.37673
87.35,93.61965
87.4,88.16716
87.45,82.43513
87.5,78.53011
87.55,73.96844
87.6,72.28206
87.65,72.87666
87.7,72.36021
87.75,71.23563
87.8,69.03297
87.85,65.43102
87.9,63.25278
87.95,62.94273
88,62.72556
88.05,62.93212
88.1,62.63738
88.15,59.39743
88.2,53.78056
88.25,50.41199
88.3,49.78631
88.35,52.58374
88.4,52.87433
88.45,51.62635
88.5,49.75166
88.55,47.39669
88.6,45.07682
88.65,43.96718
88.7,43.72809
88.75,43.70613
88.8,43.43529
88.85,42.69869
88.9,41.8847
88.95,41.00423
89,39.56167
89.05,38.09664
89.1,37.3828
89.15,37.7091
89.2,40.78475
90.95,32.79911
91,27.20253
91.05,24.32067
91.1,22.85728
91.15,22.16718
91.2,20.77276
91.25,18.48269
91.3,16.62037
91.35,15.96499
91.4,15.77943
91.45,15.23228
91.5,14.69751
91.55,14.19927
91.6,13.11881
91.65,11.77308
91.7,11.25191
91.75,11.13256
91.8,10.67103
91.85,9.970006
91.9,9.939665
91.95,10.28706
92,10.13413
92.05,9.271776
92.1,8.547257
92.15,8.149349
92.2,7.467786
92.25,6.849716
92.3,7.109763
92.35,7.322097
92.4,6.437703
92.45,5.271297
92.5,4.784986
92.55,4.896666
92.6,4.220494
92.65,3.966633
92.7,4.774998
92.75,6.000043
92.8,6.529474
